# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	5282	6145	+	WP_246454403.1	WP_246454403.1		tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	miaA		H9L06_RS00040	864	287	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	6129	6878	-							H9L06_RS00045	750		old_locus_tag=H9L06_00045
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	6129	6878	-	WP_187555306.1	WP_187555306.1		hypothetical protein			H9L06_RS00045	750	249	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	6875	7486	-							H9L06_RS00050	612		old_locus_tag=H9L06_00050
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	6875	7486	-	WP_187555307.1	WP_187555307.1		hypothetical protein			H9L06_RS00050	612	203	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	7483	8220	-							H9L06_RS00055	738		old_locus_tag=H9L06_00055
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	7483	8220	-	WP_187555308.1	WP_187555308.1		FHA domain-containing protein			H9L06_RS00055	738	245	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	8220	12563	-							H9L06_RS00060	4344		old_locus_tag=H9L06_00060
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	8220	12563	-	WP_187555309.1	WP_187555309.1		hypothetical protein			H9L06_RS00060	4344	1447	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	12595	13644	-							H9L06_RS00065	1050		old_locus_tag=H9L06_00065
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	12595	13644	-	WP_187555310.1	WP_187555310.1		hypothetical protein			H9L06_RS00065	1050	349	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	13745	14260	+							H9L06_RS00070	516		old_locus_tag=H9L06_00070
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	13745	14260	+	WP_187555311.1	WP_187555311.1		hypothetical protein			H9L06_RS00070	516	171	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	14277	15041	+							H9L06_RS00075	765		old_locus_tag=H9L06_00075
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	14277	15041	+	WP_187555312.1	WP_187555312.1		hypothetical protein			H9L06_RS00075	765	254	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	15060	15392	+							H9L06_RS00080	333		old_locus_tag=H9L06_00080
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	15060	15392	+	WP_187555313.1	WP_187555313.1		hypothetical protein			H9L06_RS00080	333	110	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	15411	16484	-							H9L06_RS00085	1074		old_locus_tag=H9L06_00085
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	15411	16484	-	WP_187555314.1	WP_187555314.1		permease prefix domain 1-containing protein			H9L06_RS00085	1074	357	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	16481	16813	-							H9L06_RS00090	333		old_locus_tag=H9L06_00090
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	16481	16813	-	WP_187555315.1	WP_187555315.1		PadR family transcriptional regulator			H9L06_RS00090	333	110	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	16943	17815	+					dapF		H9L06_RS00095	873		old_locus_tag=H9L06_00095
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	16943	17815	+	WP_187555316.1	WP_187555316.1		diaminopimelate epimerase	dapF		H9L06_RS00095	873	290	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	17808	18431	-							H9L06_RS00100	624		old_locus_tag=H9L06_00100
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	17808	18431	-	WP_187555317.1	WP_187555317.1		methyltransferase			H9L06_RS00100	624	207	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	18520	20067	+					hflX		H9L06_RS00105	1548		old_locus_tag=H9L06_00105
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	18520	20067	+	WP_187555318.1	WP_187555318.1		GTPase HflX	hflX		H9L06_RS00105	1548	515	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	20182	22500	+					metE		H9L06_RS00110	2319		old_locus_tag=H9L06_00110
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	20182	22500	+	WP_187555319.1	WP_187555319.1		5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	metE		H9L06_RS00110	2319	772	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	22509	23660	+							H9L06_RS00115	1152		old_locus_tag=H9L06_00115
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	22509	23660	+	WP_223165201.1	WP_223165201.1		hypothetical protein			H9L06_RS00115	1152	383	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	23657	24550	+							H9L06_RS00120	894		old_locus_tag=H9L06_00120
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	23657	24550	+	WP_187555320.1	WP_187555320.1		methylenetetrahydrofolate reductase			H9L06_RS00120	894	297	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	24591	25253	-					lexA		H9L06_RS00125	663		old_locus_tag=H9L06_00125
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	24591	25253	-	WP_187555321.1	WP_187555321.1		transcriptional repressor LexA	lexA		H9L06_RS00125	663	220	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	25482	25886	+							H9L06_RS00130	405		old_locus_tag=H9L06_00130
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	25482	25886	+	WP_187555322.1	WP_187555322.1		hypothetical protein			H9L06_RS00130	405	134	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	25931	27004	+							H9L06_RS00135	1074		old_locus_tag=H9L06_00135
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	25931	27004	+	WP_187555323.1	WP_187555323.1		histidinol-phosphate transaminase			H9L06_RS00135	1074	357	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	27072	27680	+					hisB		H9L06_RS00140	609		old_locus_tag=H9L06_00140
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	27072	27680	+	WP_187555324.1	WP_187555324.1		imidazoleglycerol-phosphate dehydratase HisB	hisB		H9L06_RS00140	609	202	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	27677	28318	+					hisH		H9L06_RS00145	642		old_locus_tag=H9L06_00145
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	27677	28318	+	WP_187555325.1	WP_187555325.1		imidazole glycerol phosphate synthase subunit HisH	hisH		H9L06_RS00145	642	213	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	28341	29090	+					priA		H9L06_RS00150	750		old_locus_tag=H9L06_00150
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	28341	29090	+	WP_187555326.1	WP_187555326.1		bifunctional 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase/phosphoribosylanthranilate isomerase PriA	priA		H9L06_RS00150	750	249	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	29105	29986	+							H9L06_RS00155	882		old_locus_tag=H9L06_00155
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	29105	29986	+	WP_187555327.1	WP_187555327.1		SseB family protein			H9L06_RS00155	882	293	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	30048	31610	+							H9L06_RS00160	1563		old_locus_tag=H9L06_00160
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	30048	31610	+	WP_187555328.1	WP_187555328.1		sodium-dependent transporter			H9L06_RS00160	1563	520	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	31607	31747	+							H9L06_RS00165	141		old_locus_tag=H9L06_00165
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	31607	31747	+	WP_187555329.1	WP_187555329.1		MetS family NSS transporter small subunit			H9L06_RS00165	141	46	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	31750	32076	-							H9L06_RS00170	327		old_locus_tag=H9L06_00170
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	31750	32076	-	WP_187555330.1	WP_187555330.1		AzlD domain-containing protein			H9L06_RS00170	327	108	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	32073	32783	-							H9L06_RS00175	711		old_locus_tag=H9L06_00175
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	32073	32783	-	WP_187555331.1	WP_187555331.1		AzlC family ABC transporter permease			H9L06_RS00175	711	236	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	32799	33164	-							H9L06_RS00180	366		old_locus_tag=H9L06_00180
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	32799	33164	-	WP_187555332.1	WP_187555332.1		DUF1844 domain-containing protein			H9L06_RS00180	366	121	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	33412	34008	+					infC		H9L06_RS00185	597		old_locus_tag=H9L06_00185
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	33412	34008	+	WP_187556245.1	WP_187556245.1		translation initiation factor IF-3	infC		H9L06_RS00185	597	198	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	34062	34256	+					rpmI		H9L06_RS00190	195		old_locus_tag=H9L06_00190
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	34062	34256	+	WP_187555333.1	WP_187555333.1		50S ribosomal protein L35	rpmI		H9L06_RS00190	195	64	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	34298	34684	+					rplT		H9L06_RS00195	387		old_locus_tag=H9L06_00195
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	34298	34684	+	WP_187555334.1	WP_187555334.1		50S ribosomal protein L20	rplT		H9L06_RS00195	387	128	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	34770	35573	+							H9L06_RS00200	804		old_locus_tag=H9L06_00200
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	34770	35573	+	WP_187555335.1	WP_187555335.1		RNA methyltransferase			H9L06_RS00200	804	267	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	35582	36907	-							H9L06_RS00205	1326		old_locus_tag=H9L06_00205
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	35582	36907	-	WP_246454404.1	WP_246454404.1		Dyp-type peroxidase			H9L06_RS00205	1326	441	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	36876	37475	-							H9L06_RS00210	600		old_locus_tag=H9L06_00210
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	36876	37475	-	WP_187555336.1	WP_187555336.1		copper chaperone PCu(A)C			H9L06_RS00210	600	199	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	37480	38199	-							H9L06_RS00215	720		old_locus_tag=H9L06_00215
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	37480	38199	-	WP_187555337.1	WP_187555337.1		copper resistance protein CopC			H9L06_RS00215	720	239	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	38264	38881	-							H9L06_RS00220	618		old_locus_tag=H9L06_00220
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	38264	38881	-	WP_246454406.1	WP_246454406.1		hypothetical protein			H9L06_RS00220	618	205	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	38963	40015	+					pheS		H9L06_RS00225	1053		old_locus_tag=H9L06_00225
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	38963	40015	+	WP_187555338.1	WP_187555338.1		phenylalanine--tRNA ligase subunit alpha	pheS		H9L06_RS00225	1053	350	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	40016	42571	+					pheT		H9L06_RS00230	2556		old_locus_tag=H9L06_00230
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	40016	42571	+	WP_187555339.1	WP_187555339.1		phenylalanine--tRNA ligase subunit beta	pheT		H9L06_RS00230	2556	851	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	42703	43431	+							H9L06_RS00235	729		old_locus_tag=H9L06_00235
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	42703	43431	+	WP_187555340.1	WP_187555340.1		NAD(P)H-binding protein			H9L06_RS00235	729	242	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	43472	44401	+							H9L06_RS00240	930		old_locus_tag=H9L06_00240
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	43472	44401	+	WP_187555341.1	WP_187555341.1		VOC family protein			H9L06_RS00240	930	309	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	44459	45244	+							H9L06_RS00245	786		old_locus_tag=H9L06_00245
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	44459	45244	+	WP_187555342.1	WP_187555342.1		enoyl-CoA hydratase-related protein			H9L06_RS00245	786	261	
gene	pseudogene	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	45284	46356	+					argC		H9L06_RS00250	1073		pseudo;old_locus_tag=H9L06_00250
CDS	without_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	45284	46356	+				N-acetyl-gamma-glutamyl-phosphate reductase	argC		H9L06_RS00250	1073		pseudo
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	46353	47507	+					argJ		H9L06_RS00255	1155		old_locus_tag=H9L06_00255
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	46353	47507	+	WP_187555343.1	WP_187555343.1		bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ	argJ		H9L06_RS00255	1155	384	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	47516	48418	+					argB		H9L06_RS00260	903		old_locus_tag=H9L06_00260
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	47516	48418	+	WP_187555344.1	WP_187555344.1		acetylglutamate kinase	argB		H9L06_RS00260	903	300	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	48492	48812	+							H9L06_RS00265	321		old_locus_tag=H9L06_00265
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	48492	48812	+	WP_187555345.1	WP_187555345.1		ferredoxin family protein			H9L06_RS00265	321	106	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	48958	50250	+							H9L06_RS00270	1293		old_locus_tag=H9L06_00270
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	48958	50250	+	WP_187555346.1	WP_187555346.1		citrate synthase			H9L06_RS00270	1293	430	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	50349	51575	-							H9L06_RS00275	1227		old_locus_tag=H9L06_00275
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	50349	51575	-	WP_187555347.1	WP_187555347.1		acyl-CoA dehydrogenase family protein			H9L06_RS00275	1227	408	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	51744	52187	+							H9L06_RS00280	444		old_locus_tag=H9L06_00280
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	51744	52187	+	WP_223165202.1	WP_223165202.1		Lrp/AsnC family transcriptional regulator			H9L06_RS00280	444	147	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	52292	52462	+							H9L06_RS00285	171		old_locus_tag=H9L06_00285
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	52292	52462	+	WP_187555348.1	WP_187555348.1		DUF3117 domain-containing protein			H9L06_RS00285	171	56	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	52737	52985	+							H9L06_RS00290	249		old_locus_tag=H9L06_00290
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	52737	52985	+	WP_187555349.1	WP_187555349.1		hypothetical protein			H9L06_RS00290	249	82	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	53057	53695	-							H9L06_RS00295	639		old_locus_tag=H9L06_00295
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	53057	53695	-	WP_187555350.1	WP_187555350.1		class I SAM-dependent methyltransferase			H9L06_RS00295	639	212	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	53801	54181	+							H9L06_RS00300	381		old_locus_tag=H9L06_00300
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	53801	54181	+	WP_187555351.1	WP_187555351.1		twin-arginine translocase TatA/TatE family subunit			H9L06_RS00300	381	126	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	54205	55389	-							H9L06_RS00305	1185		old_locus_tag=H9L06_00305
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	54205	55389	-	WP_246454407.1	WP_246454407.1		Mrp/NBP35 family ATP-binding protein			H9L06_RS00305	1185	394	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	55382	55975	-							H9L06_RS00310	594		old_locus_tag=H9L06_00310
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	55382	55975	-	WP_187555352.1	WP_187555352.1		DUF1003 domain-containing protein			H9L06_RS00310	594	197	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	55972	57279	-							H9L06_RS00315	1308		old_locus_tag=H9L06_00315
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	55972	57279	-	WP_187555353.1	WP_187555353.1		CBS domain-containing protein			H9L06_RS00315	1308	435	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	57388	57876	+							H9L06_RS00320	489		old_locus_tag=H9L06_00320
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	57388	57876	+	WP_187555354.1	WP_187555354.1		hypothetical protein			H9L06_RS00320	489	162	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	57882	59261	-							H9L06_RS00325	1380		old_locus_tag=H9L06_00325
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	57882	59261	-	WP_187555355.1	WP_187555355.1		aminopeptidase P family protein			H9L06_RS00325	1380	459	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	59310	60167	+							H9L06_RS00330	858		old_locus_tag=H9L06_00330
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	59310	60167	+	WP_187555356.1	WP_187555356.1		PHP domain-containing protein			H9L06_RS00330	858	285	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	60179	61711	-							H9L06_RS00335	1533		old_locus_tag=H9L06_00335
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	60179	61711	-	WP_246454408.1	WP_246454408.1		DEAD/DEAH box helicase			H9L06_RS00335	1533	510	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	61895	62614	+							H9L06_RS00340	720		old_locus_tag=H9L06_00340
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	61895	62614	+	WP_187555357.1	WP_187555357.1		ferritin-like fold-containing protein			H9L06_RS00340	720	239	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	62624	63814	+							H9L06_RS00345	1191		old_locus_tag=H9L06_00345
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	62624	63814	+	WP_246454410.1	WP_246454410.1		methyltransferase domain-containing protein			H9L06_RS00345	1191	396	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	63807	64040	-							H9L06_RS00350	234		old_locus_tag=H9L06_00350
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	63807	64040	-	WP_246454411.1	WP_246454411.1		DUF3107 domain-containing protein			H9L06_RS00350	234	77	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	64142	65350	-							H9L06_RS11640	1209		
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	64142	65350	-	WP_246454552.1	WP_246454552.1		penicillin acylase family protein			H9L06_RS11640	1209	402	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	65296	66807	-							H9L06_RS11645	1512		
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	65296	66807	-	WP_246454412.1	WP_246454412.1		penicillin acylase family protein			H9L06_RS11645	1512	503	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	66910	70095	+							H9L06_RS00360	3186		old_locus_tag=H9L06_00360
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	66910	70095	+	WP_187555358.1	WP_187555358.1		PD-(D/E)XK nuclease family protein			H9L06_RS00360	3186	1061	
gene	pseudogene	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	70110	71122	+							H9L06_RS11650	1013		partial;pseudo
CDS	without_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	70110	71122	+				UvrD-helicase domain-containing protein			H9L06_RS11650	1013		partial;pseudo
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	71261	73516	+							H9L06_RS00365	2256		old_locus_tag=H9L06_00365
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	71261	73516	+	WP_246454553.1	WP_246454553.1		PD-(D/E)XK nuclease family protein			H9L06_RS00365	2256	751	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	73476	74690	-							H9L06_RS00370	1215		old_locus_tag=H9L06_00370
CDS	with_protein	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	73476	74690	-	WP_187555359.1	WP_187555359.1		phosphotransferase			H9L06_RS00370	1215	404	
gene	protein_coding	GCF_014396385.1	Primary Assembly	chromosome		NZ_CP060716.1	74800	75696	+					nudC		H9L06_RS00375	897		old_locus_tag=H9L06_00375
