# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	tRNA	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	10306	10379	+							Leucomu_RS00040	74		old_locus_tag=Leucomu_00040
tRNA		GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	10306	10379	+				tRNA-Ile			Leucomu_RS00040	74		anticodon=GAT
gene	tRNA	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	10409	10484	+							Leucomu_RS00045	76		old_locus_tag=Leucomu_00045
tRNA		GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	10409	10484	+				tRNA-Ala			Leucomu_RS00045	76		anticodon=TGC
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	10579	11151	+							Leucomu_RS00050	573		old_locus_tag=Leucomu_00050
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	10579	11151	+	WP_128385939.1	WP_128385939.1		GNAT family N-acetyltransferase			Leucomu_RS00050	573	190	
gene	pseudogene	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	11252	11622	+							Leucomu_RS00055	371		pseudo;old_locus_tag=Leucomu_00055
CDS	without_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	11252	11622	+				VOC family protein			Leucomu_RS00055	371		pseudo
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	11703	12461	-							Leucomu_RS00060	759		old_locus_tag=Leucomu_00060
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	11703	12461	-	WP_128385940.1	WP_128385940.1		PIG-L family deacetylase			Leucomu_RS00060	759	252	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	12576	13973	+							Leucomu_RS00065	1398		old_locus_tag=Leucomu_00065
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	12576	13973	+	WP_128385941.1	WP_128385941.1		histidine kinase			Leucomu_RS00065	1398	465	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	13961	14680	+							Leucomu_RS00070	720		old_locus_tag=Leucomu_00070
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	13961	14680	+	WP_017884112.1	WP_017884112.1		response regulator transcription factor			Leucomu_RS00070	720	239	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	14677	15657	+							Leucomu_RS00075	981		old_locus_tag=Leucomu_00075
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	14677	15657	+	WP_128385942.1	WP_128385942.1		hypothetical protein			Leucomu_RS00075	981	326	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	15852	16877	+							Leucomu_RS00080	1026		old_locus_tag=Leucomu_00080
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	15852	16877	+	WP_128385943.1	WP_128385943.1		alpha/beta hydrolase			Leucomu_RS00080	1026	341	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	16963	17463	+							Leucomu_RS00085	501		old_locus_tag=Leucomu_00085
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	16963	17463	+	WP_128385944.1	WP_128385944.1		NUDIX hydrolase			Leucomu_RS00085	501	166	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	17559	18050	-							Leucomu_RS00090	492		old_locus_tag=Leucomu_00090
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	17559	18050	-	WP_017884116.1	WP_017884116.1		hypothetical protein			Leucomu_RS00090	492	163	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	18235	18744	+							Leucomu_RS00095	510		old_locus_tag=Leucomu_00095
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	18235	18744	+	WP_128385945.1	WP_128385945.1		peptidylprolyl isomerase			Leucomu_RS00095	510	169	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	18750	19691	+							Leucomu_RS00100	942		old_locus_tag=Leucomu_00100
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	18750	19691	+	WP_228407132.1	WP_228407132.1		rhomboid family intramembrane serine protease			Leucomu_RS00100	942	313	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	19850	20125	-							Leucomu_RS00105	276		old_locus_tag=Leucomu_00105
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	19850	20125	-	WP_017884119.1	WP_017884119.1		cell division protein CrgA			Leucomu_RS00105	276	91	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	20187	20966	+							Leucomu_RS00110	780		old_locus_tag=Leucomu_00110
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	20187	20966	+	WP_128387720.1	WP_128387720.1		class E sortase			Leucomu_RS00110	780	259	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	20966	21127	+							Leucomu_RS15045	162		
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	20966	21127	+	WP_164884474.1	WP_164884474.1		hypothetical protein			Leucomu_RS15045	162	53	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	21124	21759	+							Leucomu_RS00115	636		old_locus_tag=Leucomu_00115
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	21124	21759	+	WP_128385946.1	WP_128385946.1		gamma-glutamyl-gamma-aminobutyrate hydrolase family protein			Leucomu_RS00115	636	211	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	21864	23576	-					pknB		Leucomu_RS00120	1713		old_locus_tag=Leucomu_00120
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	21864	23576	-	WP_128385947.1	WP_128385947.1		Stk1 family PASTA domain-containing Ser/Thr kinase	pknB		Leucomu_RS00120	1713	570	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	23643	25415	-							Leucomu_RS00125	1773		old_locus_tag=Leucomu_00125
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	23643	25415	-	WP_128385948.1	WP_128385948.1		protein kinase			Leucomu_RS00125	1773	590	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	25412	26899	-							Leucomu_RS00130	1488		old_locus_tag=Leucomu_00130
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	25412	26899	-	WP_017884125.1	WP_017884125.1		hypothetical protein			Leucomu_RS00130	1488	495	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	26896	28305	-							Leucomu_RS00135	1410		old_locus_tag=Leucomu_00135
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	26896	28305	-	WP_017884126.1	WP_017884126.1		FtsW/RodA/SpoVE family cell cycle protein			Leucomu_RS00135	1410	469	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	28298	29668	-							Leucomu_RS00140	1371		old_locus_tag=Leucomu_00140
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	28298	29668	-	WP_128385949.1	WP_128385949.1		Stp1/IreP family PP2C-type Ser/Thr phosphatase			Leucomu_RS00140	1371	456	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	29671	30210	-							Leucomu_RS00145	540		old_locus_tag=Leucomu_00145
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	29671	30210	-	WP_128385950.1	WP_128385950.1		FHA domain-containing protein			Leucomu_RS00145	540	179	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	30207	31013	-							Leucomu_RS00150	807		old_locus_tag=Leucomu_00150
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	30207	31013	-	WP_128385951.1	WP_128385951.1		DUF3662 domain-containing protein			Leucomu_RS00150	807	268	
gene	tRNA	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	31230	31313	+							Leucomu_RS00155	84		old_locus_tag=Leucomu_00155
tRNA		GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	31230	31313	+				tRNA-Leu			Leucomu_RS00155	84		anticodon=CAG
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	31455	32045	-							Leucomu_RS00160	591		old_locus_tag=Leucomu_00160
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	31455	32045	-	WP_128385952.1	WP_128385952.1		MarR family transcriptional regulator			Leucomu_RS00160	591	196	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	32160	32711	+					idi		Leucomu_RS00165	552		old_locus_tag=Leucomu_00165
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	32160	32711	+	WP_128385953.1	WP_128385953.1		isopentenyl-diphosphate Delta-isomerase	idi		Leucomu_RS00165	552	183	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	32713	33816	+							Leucomu_RS00170	1104		old_locus_tag=Leucomu_00170
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	32713	33816	+	WP_128385954.1	WP_128385954.1		polyprenyl synthetase family protein			Leucomu_RS00170	1104	367	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	33813	34772	+							Leucomu_RS00175	960		old_locus_tag=Leucomu_00175
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	33813	34772	+	WP_128385955.1	WP_128385955.1		squalene/phytoene synthase family protein			Leucomu_RS00175	960	319	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	34769	36385	+					crtI		Leucomu_RS00180	1617		old_locus_tag=Leucomu_00180
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	34769	36385	+	WP_128385956.1	WP_128385956.1		phytoene desaturase	crtI		Leucomu_RS00180	1617	538	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	36382	36717	+							Leucomu_RS00185	336		old_locus_tag=Leucomu_00185
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	36382	36717	+	WP_017884135.1	WP_017884135.1		lycopene cyclase domain-containing protein			Leucomu_RS00185	336	111	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	36714	37892	+							Leucomu_RS00190	1179		old_locus_tag=Leucomu_00190
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	36714	37892	+	WP_128385957.1	WP_128385957.1		prenyltransferase			Leucomu_RS00190	1179	392	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	37889	40117	+							Leucomu_RS00195	2229		old_locus_tag=Leucomu_00195
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	37889	40117	+	WP_128385958.1	WP_128385958.1		MMPL family transporter			Leucomu_RS00195	2229	742	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	40349	41389	+							Leucomu_RS00200	1041		old_locus_tag=Leucomu_00200
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	40349	41389	+	WP_164884476.1	WP_164884476.1		ABC transporter substrate-binding protein			Leucomu_RS00200	1041	346	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	41397	42197	+							Leucomu_RS00205	801		old_locus_tag=Leucomu_00205
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	41397	42197	+	WP_128385960.1	WP_128385960.1		ABC transporter ATP-binding protein			Leucomu_RS00205	801	266	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	42190	43023	+							Leucomu_RS00210	834		old_locus_tag=Leucomu_00210
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	42190	43023	+	WP_128385961.1	WP_128385961.1		ABC transporter permease			Leucomu_RS00210	834	277	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	43084	44601	+							Leucomu_RS00215	1518		old_locus_tag=Leucomu_00215
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	43084	44601	+	WP_128385962.1	WP_128385962.1		aldehyde dehydrogenase family protein			Leucomu_RS00215	1518	505	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	44649	45647	+							Leucomu_RS00220	999		old_locus_tag=Leucomu_00220
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	44649	45647	+	WP_017884142.1	WP_017884142.1		membrane dipeptidase			Leucomu_RS00220	999	332	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	45644	47215	+							Leucomu_RS00225	1572		old_locus_tag=Leucomu_00225
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	45644	47215	+	WP_128385963.1	WP_128385963.1		NAD(P)/FAD-dependent oxidoreductase			Leucomu_RS00225	1572	523	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	47212	47508	+							Leucomu_RS00230	297		old_locus_tag=Leucomu_00230
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	47212	47508	+	WP_017884144.1	WP_017884144.1		muconolactone Delta-isomerase family protein			Leucomu_RS00230	297	98	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	47514	48575	+							Leucomu_RS00235	1062		old_locus_tag=Leucomu_00235
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	47514	48575	+	WP_128385964.1	WP_128385964.1		LacI family transcriptional regulator			Leucomu_RS00235	1062	353	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	48728	49336	+							Leucomu_RS00240	609		old_locus_tag=Leucomu_00240
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	48728	49336	+	WP_128385965.1	WP_128385965.1		hypothetical protein			Leucomu_RS00240	609	202	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	49345	49557	-							Leucomu_RS00245	213		old_locus_tag=Leucomu_00245
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	49345	49557	-	WP_017884147.1	WP_017884147.1		hypothetical protein			Leucomu_RS00245	213	70	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	49617	50303	-							Leucomu_RS00250	687		old_locus_tag=Leucomu_00250
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	49617	50303	-	WP_228407394.1	WP_228407394.1		TetR family transcriptional regulator			Leucomu_RS00250	687	228	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	50482	52284	+							Leucomu_RS00255	1803		old_locus_tag=Leucomu_00255
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	50482	52284	+	WP_128385967.1	WP_128385967.1		ABC transporter ATP-binding protein/permease			Leucomu_RS00255	1803	600	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	52281	52958	+							Leucomu_RS15290	678		
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	52281	52958	+	WP_228407133.1	WP_228407133.1		hypothetical protein			Leucomu_RS15290	678	225	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	53022	54014	+							Leucomu_RS15295	993		
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	53022	54014	+	WP_228407135.1	WP_228407135.1		ABC transporter ATP-binding protein/permease			Leucomu_RS15295	993	330	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	54141	54761	+							Leucomu_RS00265	621		old_locus_tag=Leucomu_00265
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	54141	54761	+	WP_017884151.1	WP_017884151.1		MptD family putative ECF transporter S component			Leucomu_RS00265	621	206	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	54754	55521	+							Leucomu_RS00270	768		old_locus_tag=Leucomu_00270
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	54754	55521	+	WP_228407137.1	WP_228407137.1		energy-coupling factor transporter transmembrane protein EcfT			Leucomu_RS00270	768	255	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	55580	57142	+							Leucomu_RS00275	1563		old_locus_tag=Leucomu_00275
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	55580	57142	+	WP_128385968.1	WP_128385968.1		ABC transporter ATP-binding protein			Leucomu_RS00275	1563	520	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	57139	58356	+							Leucomu_RS00280	1218		old_locus_tag=Leucomu_00280
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	57139	58356	+	WP_017884154.1	WP_017884154.1		MFS transporter			Leucomu_RS00280	1218	405	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	58366	60912	-							Leucomu_RS00285	2547		old_locus_tag=Leucomu_00285
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	58366	60912	-	WP_128385969.1	WP_128385969.1		HPr family phosphocarrier protein			Leucomu_RS00285	2547	848	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	61051	61680	-					dhaL		Leucomu_RS00290	630		old_locus_tag=Leucomu_00290
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	61051	61680	-	WP_128385970.1	WP_128385970.1		dihydroxyacetone kinase subunit L	dhaL		Leucomu_RS00290	630	209	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	61745	62743	-					dhaK		Leucomu_RS00295	999		old_locus_tag=Leucomu_00295
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	61745	62743	-	WP_128385971.1	WP_128385971.1		dihydroxyacetone kinase subunit DhaK	dhaK		Leucomu_RS00295	999	332	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	63092	64705	+							Leucomu_RS00300	1614		old_locus_tag=Leucomu_00300
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	63092	64705	+	WP_128385972.1	WP_128385972.1		amidohydrolase			Leucomu_RS00300	1614	537	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	64802	67330	-							Leucomu_RS00305	2529		old_locus_tag=Leucomu_00305
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	64802	67330	-	WP_164884477.1	WP_164884477.1		LuxR C-terminal-related transcriptional regulator			Leucomu_RS00305	2529	842	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	67648	68553	+							Leucomu_RS00310	906		old_locus_tag=Leucomu_00310
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	67648	68553	+	WP_128385974.1	WP_128385974.1		ABC transporter substrate-binding protein			Leucomu_RS00310	906	301	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	68587	69612	+							Leucomu_RS00315	1026		old_locus_tag=Leucomu_00315
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	68587	69612	+	WP_128385975.1	WP_128385975.1		amino acid ABC transporter permease			Leucomu_RS00315	1026	341	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	69636	70388	+							Leucomu_RS00320	753		old_locus_tag=Leucomu_00320
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	69636	70388	+	WP_164884589.1	WP_164884589.1		amino acid ABC transporter ATP-binding protein			Leucomu_RS00320	753	250	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	70431	70829	-					tagD		Leucomu_RS00325	399		old_locus_tag=Leucomu_00325
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	70431	70829	-	WP_017884163.1	WP_017884163.1		glycerol-3-phosphate cytidylyltransferase	tagD		Leucomu_RS00325	399	132	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	71119	71334	-							Leucomu_RS00330	216		old_locus_tag=Leucomu_00330
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	71119	71334	-	WP_128385976.1	WP_128385976.1		hypothetical protein			Leucomu_RS00330	216	71	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	71473	73167	-							Leucomu_RS00335	1695		old_locus_tag=Leucomu_00335
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	71473	73167	-	WP_128385977.1	WP_128385977.1		helix-turn-helix domain-containing protein			Leucomu_RS00335	1695	564	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	73272	74597	+					lysA		Leucomu_RS00340	1326		old_locus_tag=Leucomu_00340
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	73272	74597	+	WP_228407139.1	WP_228407139.1		diaminopimelate decarboxylase	lysA		Leucomu_RS00340	1326	441	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	74673	75641	+							Leucomu_RS00345	969		old_locus_tag=Leucomu_00345
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	74673	75641	+	WP_031290051.1	WP_031290051.1		transporter substrate-binding domain-containing protein			Leucomu_RS00345	969	322	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	75662	76615	+							Leucomu_RS00350	954		old_locus_tag=Leucomu_00350
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	75662	76615	+	WP_017884170.1	WP_017884170.1		amino acid ABC transporter permease			Leucomu_RS00350	954	317	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	76608	77447	+							Leucomu_RS00355	840		old_locus_tag=Leucomu_00355
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	76608	77447	+	WP_017884171.1	WP_017884171.1		amino acid ABC transporter ATP-binding protein			Leucomu_RS00355	840	279	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	77520	77993	+							Leucomu_RS00360	474		old_locus_tag=Leucomu_00360
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	77520	77993	+	WP_128385979.1	WP_128385979.1		acyl-CoA thioesterase			Leucomu_RS00360	474	157	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	77990	79219	+							Leucomu_RS00365	1230		old_locus_tag=Leucomu_00365
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	77990	79219	+	WP_228407141.1	WP_228407141.1		glycerate kinase			Leucomu_RS00365	1230	409	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	79292	79759	-							Leucomu_RS00370	468		old_locus_tag=Leucomu_00370
CDS	with_protein	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	79292	79759	-	WP_017884174.1	WP_017884174.1		GNAT family N-acetyltransferase			Leucomu_RS00370	468	155	
gene	protein_coding	GCF_004028235.1	Primary Assembly	chromosome		NZ_CP035037.1	79756	80046	-							Leucomu_RS00375	291		old_locus_tag=Leucomu_00375
