# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	8031	9299	-							G7067_RS00035	1269		old_locus_tag=G7067_00035
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	8031	9299	-	WP_166321108.1	WP_166321108.1		hypothetical protein			G7067_RS00035	1269	422	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	9598	10095	-							G7067_RS00040	498		old_locus_tag=G7067_00040
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	9598	10095	-	WP_166321110.1	WP_166321110.1		SRPBCC family protein			G7067_RS00040	498	165	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	10587	12476	+							G7067_RS00045	1890		old_locus_tag=G7067_00045
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	10587	12476	+	WP_244301142.1	WP_244301142.1		ATP-binding cassette domain-containing protein			G7067_RS00045	1890	629	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	12943	13458	+							G7067_RS00050	516		old_locus_tag=G7067_00050
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	12943	13458	+	WP_244301143.1	WP_244301143.1		VIT1/CCC1 transporter family protein			G7067_RS00050	516	171	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	13495	13833	+							G7067_RS00055	339		old_locus_tag=G7067_00055
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	13495	13833	+	WP_166321112.1	WP_166321112.1		MGMT family protein			G7067_RS00055	339	112	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	13830	14693	+							G7067_RS00060	864		old_locus_tag=G7067_00060
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	13830	14693	+	WP_166321114.1	WP_166321114.1		LysR substrate-binding domain-containing protein			G7067_RS00060	864	287	
gene	pseudogene	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	15057	17128	-							G7067_RS00065	2072		pseudo;old_locus_tag=G7067_00065
CDS	without_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	15057	17128	-				acyl-CoA dehydrogenase family protein			G7067_RS00065	2072		pseudo
gene	pseudogene	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	17355	18610	-							G7067_RS00070	1256		partial;pseudo;old_locus_tag=G7067_00070
CDS	without_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	17355	18610	-				DEAD/DEAH box helicase			G7067_RS00070	1256		partial;pseudo
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	18853	22482	-							G7067_RS00075	3630		old_locus_tag=G7067_00075
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	18853	22482	-	WP_244301144.1	WP_244301144.1		efflux RND transporter permease subunit			G7067_RS00075	3630	1209	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	22537	23796	+							G7067_RS00080	1260		old_locus_tag=G7067_00080
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	22537	23796	+	WP_244301145.1	WP_244301145.1		DUF445 family protein			G7067_RS00080	1260	419	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	23934	24578	-							G7067_RS00085	645		old_locus_tag=G7067_00085
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	23934	24578	-	WP_166321118.1	WP_166321118.1		hypothetical protein			G7067_RS00085	645	214	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	24733	24918	+							G7067_RS00090	186		old_locus_tag=G7067_00090
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	24733	24918	+	WP_166321120.1	WP_166321120.1		DUF3073 domain-containing protein			G7067_RS00090	186	61	
gene	pseudogene	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	25006	25745	-							G7067_RS00095	740		pseudo;old_locus_tag=G7067_00095
CDS	without_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	25006	25745	-				phosphoglyceromutase			G7067_RS00095	740		pseudo
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	25775	26920	-							G7067_RS00100	1146		old_locus_tag=G7067_00100
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	25775	26920	-	WP_166321122.1	WP_166321122.1		folate-binding protein YgfZ			G7067_RS00100	1146	381	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	27104	27418	-							G7067_RS00105	315		old_locus_tag=G7067_00105
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	27104	27418	-	WP_244301146.1	WP_244301146.1		hypothetical protein			G7067_RS00105	315	104	
gene	pseudogene	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	28072	28314	+							G7067_RS13865	243		partial;pseudo
CDS	without_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	28072	28314	+				helix-turn-helix domain-containing protein			G7067_RS13865	243		partial;pseudo
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	28315	29349	+					mshD		G7067_RS00115	1035		old_locus_tag=G7067_00115
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	28315	29349	+	WP_244301147.1	WP_244301147.1		mycothiol synthase	mshD		G7067_RS00115	1035	344	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	29346	31466	+							G7067_RS00120	2121		old_locus_tag=G7067_00120
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	29346	31466	+	WP_166321124.1	WP_166321124.1		RNA degradosome polyphosphate kinase			G7067_RS00120	2121	706	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	31463	32416	+							G7067_RS00125	954		old_locus_tag=G7067_00125
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	31463	32416	+	WP_205881156.1	WP_205881156.1		NUDIX hydrolase			G7067_RS00125	954	317	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	32725	33819	+							G7067_RS00130	1095		old_locus_tag=G7067_00130
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	32725	33819	+	WP_166321126.1	WP_166321126.1		phosphate ABC transporter substrate-binding protein PstS			G7067_RS00130	1095	364	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	33868	34800	+					pstC		G7067_RS00135	933		old_locus_tag=G7067_00135
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	33868	34800	+	WP_166321128.1	WP_166321128.1		phosphate ABC transporter permease subunit PstC	pstC		G7067_RS00135	933	310	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	34800	35882	+					pstA		G7067_RS00140	1083		old_locus_tag=G7067_00140
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	34800	35882	+	WP_166321130.1	WP_166321130.1		phosphate ABC transporter permease PstA	pstA		G7067_RS00140	1083	360	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	35909	36688	+					pstB		G7067_RS00145	780		old_locus_tag=G7067_00145
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	35909	36688	+	WP_166321132.1	WP_166321132.1		phosphate ABC transporter ATP-binding protein PstB	pstB		G7067_RS00145	780	259	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	36839	37468	-							G7067_RS00150	630		old_locus_tag=G7067_00150
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	36839	37468	-	WP_166321134.1	WP_166321134.1		hypothetical protein			G7067_RS00150	630	209	
gene	pseudogene	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	37644	39739	+							G7067_RS00155	2096		pseudo;old_locus_tag=G7067_00155
CDS	without_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	37644	39739	+				MMPL family transporter			G7067_RS00155	2096		pseudo
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	39743	41062	+							G7067_RS00160	1320		old_locus_tag=G7067_00160
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	39743	41062	+	WP_166321136.1	WP_166321136.1		sensor histidine kinase			G7067_RS00160	1320	439	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	41059	41679	+							G7067_RS00165	621		old_locus_tag=G7067_00165
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	41059	41679	+	WP_166321138.1	WP_166321138.1		response regulator transcription factor			G7067_RS00165	621	206	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	41781	42227	+							G7067_RS00170	447		old_locus_tag=G7067_00170
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	41781	42227	+	WP_166321140.1	WP_166321140.1		DUF2871 domain-containing protein			G7067_RS00170	447	148	
gene	tRNA	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	42298	42369	+							G7067_RS00175	72		old_locus_tag=G7067_00175
tRNA		GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	42298	42369	+				tRNA-Lys			G7067_RS00175	72		anticodon=TTT
gene	pseudogene	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	42693	43859	+							G7067_RS00180	1167		pseudo;old_locus_tag=G7067_00180
CDS	without_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	42693	43859	+				IS3 family transposase			G7067_RS00180	1167		pseudo
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	44200	44556	-							G7067_RS00185	357		old_locus_tag=G7067_00185
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	44200	44556	-	WP_244301365.1	WP_244301365.1		relaxase domain-containing protein			G7067_RS00185	357	118	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	45123	45734	-							G7067_RS00195	612		old_locus_tag=G7067_00195
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	45123	45734	-	WP_166321144.1	WP_166321144.1		hypothetical protein			G7067_RS00195	612	203	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	46447	46980	-							G7067_RS00205	534		old_locus_tag=G7067_00205
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	46447	46980	-	WP_244301148.1	WP_244301148.1		SagB/ThcOx family dehydrogenase			G7067_RS00205	534	177	
gene	pseudogene	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	47121	48015	-							G7067_RS00210	895		pseudo;old_locus_tag=G7067_00210
CDS	without_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	47121	48015	-				IS5 family transposase			G7067_RS00210	895		pseudo
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	48317	48757	-							G7067_RS00215	441		old_locus_tag=G7067_00215
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	48317	48757	-	WP_166321150.1	WP_166321150.1		ABC transporter permease subunit			G7067_RS00215	441	146	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	49104	49451	-							G7067_RS13870	348		old_locus_tag=G7067_00220
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	49104	49451	-	WP_166321152.1	WP_166321152.1		hypothetical protein			G7067_RS13870	348	115	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	49568	49996	-							G7067_RS13875	429		old_locus_tag=G7067_00225
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	49568	49996	-	WP_166321154.1	WP_166321154.1		ATP-binding cassette domain-containing protein			G7067_RS13875	429	142	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	50322	50693	+							G7067_RS00230	372		old_locus_tag=G7067_00230
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	50322	50693	+	WP_244301149.1	WP_244301149.1		helicase C-terminal domain-containing protein			G7067_RS00230	372	123	
gene	pseudogene	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	50975	51124	-							G7067_RS00235	150		partial;pseudo;old_locus_tag=G7067_00235
CDS	without_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	50975	51124	-				IS110 family transposase			G7067_RS00235	150		partial;pseudo
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	51140	51952	-							G7067_RS13700	813		
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	51140	51952	-	WP_205881158.1	WP_205881158.1		transposase			G7067_RS13700	813	270	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	51904	52335	-							G7067_RS13705	432		
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	51904	52335	-	WP_205881159.1	WP_205881159.1		hypothetical protein			G7067_RS13705	432	143	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	52416	52652	+							G7067_RS13710	237		
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	52416	52652	+	WP_205881160.1	WP_205881160.1		hypothetical protein			G7067_RS13710	237	78	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	52797	54005	-							G7067_RS00245	1209		old_locus_tag=G7067_00245
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	52797	54005	-	WP_166325516.1	WP_166325516.1		IS110 family transposase			G7067_RS00245	1209	402	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	54315	55031	+							G7067_RS00250	717		old_locus_tag=G7067_00250
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	54315	55031	+	WP_166321158.1	WP_166321158.1		hypothetical protein			G7067_RS00250	717	238	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	55041	56222	+							G7067_RS00255	1182		old_locus_tag=G7067_00255
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	55041	56222	+	WP_166321160.1	WP_166321160.1		hypothetical protein			G7067_RS00255	1182	393	
gene	tRNA	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	56582	56655	+							G7067_RS00260	74		old_locus_tag=G7067_00260
tRNA		GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	56582	56655	+				tRNA-Pro			G7067_RS00260	74		anticodon=GGG
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	56801	57460	+							G7067_RS00265	660		old_locus_tag=G7067_00265
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	56801	57460	+	WP_166321162.1	WP_166321162.1		hypothetical protein			G7067_RS00265	660	219	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	58214	58624	+							G7067_RS00270	411		old_locus_tag=G7067_00270
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	58214	58624	+	WP_166321164.1	WP_166321164.1		alpha/beta hydrolase			G7067_RS00270	411	136	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	58686	59501	+							G7067_RS00275	816		old_locus_tag=G7067_00275
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	58686	59501	+	WP_166321166.1	WP_166321166.1		leucine-rich repeat domain-containing protein			G7067_RS00275	816	271	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	60140	61036	-							G7067_RS00280	897		old_locus_tag=G7067_00280
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	60140	61036	-	WP_166321168.1	WP_166321168.1		hypothetical protein			G7067_RS00280	897	298	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	61039	61845	-							G7067_RS00285	807		old_locus_tag=G7067_00285
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	61039	61845	-	WP_166321170.1	WP_166321170.1		signal peptidase I			G7067_RS00285	807	268	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	62214	62699	-							G7067_RS00290	486		old_locus_tag=G7067_00290
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	62214	62699	-	WP_166321172.1	WP_166321172.1		hypothetical protein			G7067_RS00290	486	161	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	62696	63043	-							G7067_RS00295	348		old_locus_tag=G7067_00295
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	62696	63043	-	WP_166321174.1	WP_166321174.1		SipW-dependent-type signal peptide-containing protein			G7067_RS00295	348	115	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	63030	63935	-							G7067_RS00300	906		old_locus_tag=G7067_00300
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	63030	63935	-	WP_166321176.1	WP_166321176.1		hypothetical protein			G7067_RS00300	906	301	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	63935	64492	-							G7067_RS00305	558		old_locus_tag=G7067_00305
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	63935	64492	-	WP_166321178.1	WP_166321178.1		hypothetical protein			G7067_RS00305	558	185	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	64623	67424	-							G7067_RS00310	2802		old_locus_tag=G7067_00310
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	64623	67424	-	WP_166321180.1	WP_166321180.1		hypothetical protein			G7067_RS00310	2802	933	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	67603	68373	-							G7067_RS13880	771		old_locus_tag=G7067_00315
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	67603	68373	-	WP_166321182.1	WP_166321182.1		LuxR C-terminal-related transcriptional regulator			G7067_RS13880	771	256	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	68400	70175	-							G7067_RS00320	1776		old_locus_tag=G7067_00320
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	68400	70175	-	WP_166321184.1	WP_166321184.1		hypothetical protein			G7067_RS00320	1776	591	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	70576	71076	+							G7067_RS00325	501		old_locus_tag=G7067_00325
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	70576	71076	+	WP_166321186.1	WP_166321186.1		PACE efflux transporter			G7067_RS00325	501	166	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	71086	72462	-							G7067_RS00330	1377		old_locus_tag=G7067_00330
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	71086	72462	-	WP_166321188.1	WP_166321188.1		hypothetical protein			G7067_RS00330	1377	458	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	72425	73900	-							G7067_RS13885	1476		old_locus_tag=G7067_00335
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	72425	73900	-	WP_244301150.1	WP_244301150.1		DUF2510 domain-containing protein			G7067_RS13885	1476	491	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	74090	75208	-							G7067_RS00340	1119		old_locus_tag=G7067_00340
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	74090	75208	-	WP_244301367.1	WP_244301367.1		acyl-CoA desaturase			G7067_RS00340	1119	372	
gene	tRNA	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	75618	75690	-							G7067_RS00345	73		old_locus_tag=G7067_00345
tRNA		GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	75618	75690	-				tRNA-Ala			G7067_RS00345	73		anticodon=CGC
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	75972	76997	-							G7067_RS00350	1026		old_locus_tag=G7067_00350
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	75972	76997	-	WP_166321192.1	WP_166321192.1		hypothetical protein			G7067_RS00350	1026	341	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	77146	77754	-							G7067_RS00355	609		old_locus_tag=G7067_00355
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	77146	77754	-	WP_166321194.1	WP_166321194.1		GNAT family N-acetyltransferase			G7067_RS00355	609	202	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	77758	78687	-							G7067_RS00360	930		old_locus_tag=G7067_00360
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	77758	78687	-	WP_166321196.1	WP_166321196.1		UTP--glucose-1-phosphate uridylyltransferase			G7067_RS00360	930	309	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	78748	79341	+							G7067_RS00365	594		old_locus_tag=G7067_00365
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	78748	79341	+	WP_166321198.1	WP_166321198.1		5-formyltetrahydrofolate cyclo-ligase			G7067_RS00365	594	197	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	79353	79661	+							G7067_RS00370	309		old_locus_tag=G7067_00370
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	79353	79661	+	WP_166321200.1	WP_166321200.1		FmdB family transcriptional regulator			G7067_RS00370	309	102	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	80113	80313	-							G7067_RS00375	201		old_locus_tag=G7067_00375
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	80113	80313	-	WP_166321093.1	WP_166321093.1		hypothetical protein			G7067_RS00375	201	66	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	80310	84167	-							G7067_RS00380	3858		old_locus_tag=G7067_00380
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	80310	84167	-	WP_244301151.1	WP_244301151.1		AAA family ATPase			G7067_RS00380	3858	1285	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	84206	85567	-							G7067_RS00385	1362		old_locus_tag=G7067_00385
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	84206	85567	-	WP_166321202.1	WP_166321202.1		NCS2 family nucleobase:cation symporter			G7067_RS00385	1362	453	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	85958	86317	-							G7067_RS00390	360		old_locus_tag=G7067_00390
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	85958	86317	-	WP_166321204.1	WP_166321204.1		cupin domain-containing protein			G7067_RS00390	360	119	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	86314	87735	-							G7067_RS00395	1422		old_locus_tag=G7067_00395
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	86314	87735	-	WP_166325525.1	WP_166325525.1		FAD-binding oxidoreductase			G7067_RS00395	1422	473	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	87828	88085	-							G7067_RS00400	258		old_locus_tag=G7067_00400
CDS	with_protein	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	87828	88085	-	WP_166321206.1	WP_166321206.1		HPP family protein			G7067_RS00400	258	85	
gene	protein_coding	GCF_011382965.1	Primary Assembly	chromosome		NZ_CP049934.1	88082	88609	-							G7067_RS00405	528		old_locus_tag=G7067_00405
